Tiempo,Volt
5.07e-06,0.6222819746541336
5.09e-06,0.6210697223843001
5.12e-06,0.6198834095954538
5.14e-06,0.6187234841505735
5.17e-06,0.6175903632696947
5.19e-06,0.6164844328646225
5.22e-06,0.6154060469403073
5.24e-06,0.6143555270640905
5.27e-06,0.6133331619038749
5.29e-06,0.6123392068361099
5.32e-06,0.6113738836243188
5.34e-06,0.6104373801687346
5.37e-06,0.6095298503274397
5.39e-06,0.608651413809244
5.42e-06,0.6078021561383686
5.44e-06,0.6069821286908348
5.47e-06,0.6061913488022935
5.49e-06,0.6054297999468656
5.52e-06,0.6046974319864036
5.54e-06,0.603994161489414
5.57e-06,0.6033198721187356
5.59e-06,0.6026744150868977
5.62e-06,0.6020576096779334
5.64e-06,0.6014692438342797
5.67e-06,0.6009090748072335
5.69e-06,0.600376829869304
5.72e-06,0.5998722070866545
5.74e-06,0.5993948761496948
5.77e-06,0.5989444792597554
5.79e-06,0.59852063206965
5.82e-06,0.5981229246758151
5.84e-06,0.5977509226595991
5.87e-06,0.5974041681751716
5.89e-06,0.5970821810814159
5.92e-06,0.5967844601150794
5.94e-06,0.596510484102364
5.97e-06,0.5962597132060624
5.99e-06,0.5960315902052653
6.02e-06,0.5958255418046088
6.04e-06,0.5956409799699593
6.07e-06,0.5954773032873928
6.09e-06,0.5953338983422727
6.12e-06,0.5952101411151999
6.14e-06,0.5951053983915788
6.17e-06,0.5950190291815168
6.19e-06,0.5949503861467713
6.22e-06,0.5948988170314451
6.24e-06,0.5948636660931375
6.27e-06,0.5948442755312677
6.29e-06,0.5948399869093072
6.32e-06,0.5948501425676801
6.34e-06,0.5948740870241297
6.37e-06,0.5949111683583845
6.39e-06,0.5949607395780093
6.42e-06,0.5950221599623856
6.44e-06,0.5950947963818178
6.47e-06,0.5951780245888467
6.49e-06,0.5952712304789165
6.52e-06,0.595373811317628
6.54e-06,0.5954851769319057
6.57e-06,0.5956047508624948
6.59e-06,0.5957319714753083
6.62e-06,0.5958662930292555
6.64e-06,0.5960071866982889
6.67e-06,0.5961541415455293
6.69e-06,0.5963066654474489
6.72e-06,0.596464285966222
6.74e-06,0.5966265511684763
6.77e-06,0.5967930303888211
6.79e-06,0.5969633149366643
6.82e-06,0.5971370187449655
6.84e-06,0.5973137789597248
6.87e-06,0.5974932564691486
6.89e-06,0.5976751363715819
6.92e-06,0.5978591283814486
6.94e-06,0.5980449671725915
6.97e-06,0.5982324126585552
6.99e-06,0.5984212502095094
7.02e-06,0.5986112908056637
7.04e-06,0.5988023711271728
7.07e-06,0.5989943535806911
7.09e-06,0.5991871262628784
7.12e-06,0.5993806028613172
